{'ping': '100', 'upload': 798.63096, 'download': 1469.76718, 'respone_time': 2900992, 'server_ip': '10.0.0.3'}
{'ping': '1046', 'upload': 642.31199, 'download': 1116.71603, 'respone_time': 2578944, 'server_ip': '10.0.0.3'}
{'ping': '20', 'upload': 949.03485, 'download': 1639.20611, 'respone_time': 3574784, 'server_ip': '10.0.0.3'}
{'ping': '0', 'upload': 715.65351, 'download': 1583.82377, 'respone_time': 2460160, 'server_ip': '10.0.0.3'}
{'ping': '58', 'upload': 963.57962, 'download': 1454.4105, 'respone_time': 2889472, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 756.96489, 'download': 1728.56574, 'respone_time': 2758144, 'server_ip': '10.0.0.3'}
{'ping': '7', 'upload': 687.81424, 'download': 1607.83154, 'respone_time': 2418688, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 934.65113, 'download': 1571.0509, 'respone_time': 3291648, 'server_ip': '10.0.0.3'}
{'ping': '11', 'upload': 736.95113, 'download': 1301.76501, 'respone_time': 2395392, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 944.18519, 'download': 2163.8312, 'respone_time': 2500864, 'server_ip': '10.0.0.3'}
{'ping': '7', 'upload': 800.29131, 'download': 1337.92996, 'respone_time': 3603968, 'server_ip': '10.0.0.3'}
{'ping': '14', 'upload': 941.33514, 'download': 1611.04326, 'respone_time': 2489856, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 793.07799, 'download': 1213.73148, 'respone_time': 2635264, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 741.08987, 'download': 1544.92432, 'respone_time': 2478592, 'server_ip': '10.0.0.3'}
{'ping': '7', 'upload': 723.11385, 'download': 1591.66938, 'respone_time': 3570688, 'server_ip': '10.0.0.3'}
{'ping': '10', 'upload': 741.7967, 'download': 1628.6978, 'respone_time': 2372864, 'server_ip': '10.0.0.3'}
{'ping': '10', 'upload': 821.55383, 'download': 1457.48235, 'respone_time': 2471168, 'server_ip': '10.0.0.3'}
{'ping': '7', 'upload': 762.72667, 'download': 1926.25802, 'respone_time': 2406656, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 843.17611, 'download': 1338.69768, 'respone_time': 2910720, 'server_ip': '10.0.0.3'}
{'ping': '10', 'upload': 812.18245, 'download': 1480.85931, 'respone_time': 2424576, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 886.85018, 'download': 1332.78725, 'respone_time': 3758080, 'server_ip': '10.0.0.3'}
{'ping': '11', 'upload': 853.46468, 'download': 1388.4401, 'respone_time': 2441216, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 752.88061, 'download': 1476.69805, 'respone_time': 2432512, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 789.6554, 'download': 1051.69316, 'respone_time': 2536960, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 712.59341, 'download': 1865.16441, 'respone_time': 2937600, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 838.72722, 'download': 1292.74648, 'respone_time': 2862080, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 811.83368, 'download': 1434.86826, 'respone_time': 2565120, 'server_ip': '10.0.0.3'}
{'ping': '10', 'upload': 892.91248, 'download': 1623.2476, 'respone_time': 2379776, 'server_ip': '10.0.0.3'}
{'ping': '52', 'upload': 703.00357, 'download': 1468.73027, 'respone_time': 2779904, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 721.34439, 'download': 1490.26275, 'respone_time': 2545920, 'server_ip': '10.0.0.3'}
{'ping': '10', 'upload': 764.70789, 'download': 2122.06212, 'respone_time': 2492160, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 741.95956, 'download': 1592.43396, 'respone_time': 3247616, 'server_ip': '10.0.0.3'}
{'ping': '11', 'upload': 748.67406, 'download': 1472.24571, 'respone_time': 2556672, 'server_ip': '10.0.0.3'}
{'ping': '11', 'upload': 886.2598, 'download': 1414.07759, 'respone_time': 2431744, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 788.69739, 'download': 1289.52063, 'respone_time': 2889984, 'server_ip': '10.0.0.3'}
{'ping': '10', 'upload': 917.7079, 'download': 1325.31763, 'respone_time': 2415104, 'server_ip': '10.0.0.3'}
{'ping': '11', 'upload': 705.14289, 'download': 1374.01896, 'respone_time': 2787840, 'server_ip': '10.0.0.3'}
{'ping': '10', 'upload': 752.70758, 'download': 1460.25227, 'respone_time': 2591744, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 811.36734, 'download': 1502.16396, 'respone_time': 2427136, 'server_ip': '10.0.0.3'}
{'ping': '11', 'upload': 734.32959, 'download': 1925.21064, 'respone_time': 2382336, 'server_ip': '10.0.0.3'}
{'ping': '7', 'upload': 755.59346, 'download': 1598.73985, 'respone_time': 2803456, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 795.47957, 'download': 1239.40108, 'respone_time': 2613504, 'server_ip': '10.0.0.3'}
