'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.054924928985828916
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05081608709595013
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.053093393037454764
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.051439718789153134
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05307293467147359
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.04991940972666261
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05250417168075974
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05255324054138823
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05400628606304852
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.054200864621731036
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05368492408202194
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05170447729829687
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05346101990331969
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05432473204543772
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.051853485107421875
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.055104450717646414
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05408771459712732
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.055490710254006544
