'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06994718313217163
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.053813404507107206
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05680069556603065
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.062017738819122314
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.04696906054461444
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06544865094698392
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05386745078223092
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05718948046366374
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05239229935866136
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05033499002456665
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05920440417069655
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06274175643920898
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.059375304442185625
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05423963864644368
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.058600266774495445
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.058055380980173744
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05551584561665853
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06502757072448731
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06720119714736938
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.04876761966281467
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05274404684702556
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05252637181963239
