'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06390995449490017
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07171282172203064
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06211296717325846
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06565558910369873
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05825155973434448
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06154400961739676
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.5737005642482212
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.051491737365722656
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.061722334693459904
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0681014358997345
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0618962219783238
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05628021558125814
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.046870417065090604
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05842157333127914
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05914576848347982
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06221272395207332
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05742478370666504
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05987779299418131
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06311279932657878
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05880566743703989
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.055064845085144046
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05781504842970106
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.058646943834092885
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.058012962341308594
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06401777267456055
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.062238669395446776
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06704837083816528
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05826417605082194
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.054432683520846896
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.048874113294813365
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05789908995995155
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06193196773529053
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.059844970703125
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06871956044977362
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.059013962745666504
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0588129997253418
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06749091829572405
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0601238489151001
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.08328616619110107
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.061738388878958564
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05992691857474191
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0594825233731951
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04811418056488037
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05680236220359802
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04630327224731445
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05508214235305786
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06808030605316162
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06037328243255615
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06150957942008972
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05771282139946433
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05560806819370815
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.059544767652239115
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07026270457676478
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05493730306625366
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05778609381781684
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05332610342237684
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05809543132781982
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07439422607421875
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.061077859666612416
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06683244705200195
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06891015859750602
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.053658776813083224
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06885776519775391
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05240790843963623
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05955425898234049
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.057364368438720705
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06126744747161865
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05116466681162516
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.055439608437674384
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.058634281158447266
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0625658565097385
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.052956032752990725
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06927824020385742
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04938782964433942
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07706161340077718
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0514794077192034
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05734242333306207
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06548031171162923
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.058096068246023994
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.056904766294691295
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0525779128074646
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0560939528725364
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.055393218994140625
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04766784773932563
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07287546992301941
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.08338981866836548
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.045376082261403404
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06947766409979926
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05720174312591553
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05469352858407157
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.054513007402420044
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.10010623931884766
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06485250261094835
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06747643947601319
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.044139703114827476
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04978333579169379
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05374143340370872
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05372281508012251
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06099571122063531
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.07649953365325927
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.060957643720838756
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05471960703531901
